"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
24.539,279.14,1263.7,-0.031747,-1287.6,-131.77,6.5127e+05,232961,1,-41.338,-678.6,-3110.9,695.88,-113.95,-1924.5,3352.8,1443.3,104.2,5260.8,296492,150,716,3726,-0.84413,1.986,-0.42236
-21.609,260.8,1313.3,0.28941,-1336.7,-80.605,3.9829e+05,231435,1,-6.8068,-783.59,-3815.5,637.95,-219.96,-2377.3,3017.9,1244.6,-85.104,5651.8,300221,150,716,3726,-0.83291,1.9935,-0.40912
-84.567,218.57,1305.7,-4.6056,-1326.5,-6.2303,4.1909e+05,229911,1,-337.12,-2201.5,-10489,566.51,-1052,-6550.4,3113.7,1070.3,-1169,13096,331467,150,716,3726,-0.83386,1.9958,-0.39585
-98.057,225.73,1352.8,-1.4907,-1375,4.9652,5.3538e+05,229909,1,580.56,-1981.7,-11305,1234.7,-690.55,-6110.5,2374.2,823.66,-812.29,13356,331835,150,716,3726,-0.8216,2.0009,-0.39585
60.569,311.64,1309.8,-0.50222,-1336.2,-176.03,5.3637e+05,234483,1,-19.736,-741.79,-3341.8,589.39,-185,-1967.1,3065.8,1314.8,150.78,5207.7,296026,150,722,3727,-0.83091,1.9887,-0.4356
20.95,286.9,1311.4,-0.023309,-1336.3,-129.94,4.976e+05,232959,1,4.2662,-631.92,-2988.7,645.78,-122.05,-1848.7,3087.1,1317.5,126.58,4946.1,293653,150,716,3726,-0.83192,1.9911,-0.42236
18.192,293.67,1352.6,0.02383,-1378.2,-128.38,4.8273e+05,232957,1,59.881,-549.63,-2713.7,580.12,-130.99,-1748.8,2653.9,1098.5,21.354,4396.9,288173,150,716,3726,-0.81969,1.9962,-0.42236
-17.173,269.98,1350,0.61002,-1374.1,-86.664,4.858e+05,231433,1,665.09,-540.82,-3999.7,738.94,-190.68,-2424,2142.2,817.1,-299.99,5342,297323,150,716,3726,-0.82066,1.9986,-0.40912
-80.894,235.33,1361.4,-0.64587,-1383.9,-13.034,5.745e+05,229907,1,1936.6,-1249.4,-10390,636.76,-847.89,-5648.2,-31.627,-588.38,-2943.3,12462,330597,150,716,3726,-0.80931,2.0059,-0.39585
-121.82,173.53,1317.1,-34.577,-1332.7,50.569,5.5856e+05,229903,1,-3357,-3281,-10149,-1838.6,-1928.1,-6170.5,14.956,-1253.8,-6397.5,14585,333371,150,716,3726,-0.78463,2.0156,-0.39585
-62.917,227.07,1341.2,-11.003,-1361.5,-25.176,5.7536e+05,229905,1,-815.53,-2126.3,-9307.2,-1773,-1845.6,-5864.9,-1173.5,-1572,-5627,12972,331311,150,716,3726,-0.79698,2.0108,-0.39585
113.98,341.71,1306.7,-1.0732,-1334.6,-236.9,5.051e+05,236005,1,1068.5,-872.74,-5789.4,1031.2,-295.72,-3190.4,3296.8,1287.4,-393.23,7709.1,315600,150,722,3727,-0.82986,1.9862,-0.44881
113.61,346.99,1348,-3.1549,-1376.3,-236.89,4.9821e+05,236003,1,442.55,-1221.7,-6205,632.34,-484.05,-3286.6,2852.1,1031.8,-600.81,7822.2,316190,150,722,3727,-0.81766,1.9913,-0.44881
53.662,316.7,1350.9,-0.44145,-1378.1,-169.94,5.4235e+05,234481,1,-107.27,-754.8,-3249,481.3,-210.19,-1867.5,2570.2,1088,153.52,4765.8,291834,150,722,3727,-0.81869,1.9938,-0.4356
16.076,299.11,1386.5,-0.0046735,-1412.8,-126.83,5.0586e+05,232955,1,81.358,-461.39,-2339.9,482.45,-143.46,-1602.5,2221.1,894.72,-11.237,3774.9,276768,150,716,3726,-0.80743,2.0012,-0.42236
-12.797,277.61,1383.1,0.32312,-1407.7,-92.003,5.4062e+05,231431,1,331.8,-581.59,-3531.8,611.79,-224.58,-2322.9,2398.9,783.53,-913.51,5093.7,294951,150,716,3726,-0.80838,2.0036,-0.40912
-14.785,282.79,1416.8,0.055967,-1442,-90.455,5.2422e+05,231429,1,-326.57,-868.68,-3674.8,-244.9,-778.58,-3391.3,1218.4,-133.57,-3087.5,6129.2,305238,150,716,3726,-0.79607,2.0085,-0.40912
-20.498,282.31,1441.3,-2.3697,-1466.5,-83.308,5.4371e+05,231427,1,-1730.2,-1777.2,-5495.1,-851.19,-1327.3,-4953.8,1110.3,-479.98,-4553.6,9250.6,322360,150,716,3726,-0.78373,2.0133,-0.40912
-220.7,131.35,1310.4,-37.698,-1325.2,159.26,5.3942e+05,229901,1,-4015,-3425.5,-9573.8,-1350.9,-1660.3,-5751.3,420.13,-1155.3,-6631.8,14236,333005,150,716,3726,-0.77225,2.0204,-0.39585
205.11,392.09,1317.4,-0.40073,-1347.4,-340.41,4.9847e+05,237525,1,2132,-833.71,-7367.6,1675.6,-261.53,-4107.3,3923.8,1247.3,-1658.9,9836.2,324092,150,722,3727,-0.82879,1.9836,-0.46201
230.47,410.45,1366.3,-1.454,-1397.2,-369.1,4.9836e+05,237523,1,1614.3,-1112.6,-7675.4,1227,-503.37,-4352,3470.3,1017.4,-1757.7,9836.2,324091,150,722,3727,-0.8166,1.9887,-0.46201
112.28,350.53,1384.6,-5.5168,-1413.3,-235.28,4.9222e+05,236001,1,258.99,-1443,-6850,448.31,-612.91,-3509.3,2434.9,720.14,-1140.7,8349.4,318921,150,722,3727,-0.80543,1.9962,-0.44881
48.875,321.01,1385.1,-0.51627,-1413,-165.43,5.1785e+05,234479,1,113.84,-759.48,-3665.4,444.66,-244.16,-1933.8,2251.8,932.37,97.852,4896.1,293135,150,722,3727,-0.80644,1.9988,-0.4356
48.403,325.53,1413.2,-0.79863,-1441.6,-164.94,4.6031e+05,234477,1,128.06,-684.5,-3367.6,504.25,-200.69,-1838,2147.5,844.17,-28.577,4563.3,289840,150,722,3727,-0.79416,2.0037,-0.4356
14.482,303.71,1414.9,0.071391,-1441.7,-125.37,4.8581e+05,232953,1,-18.628,-493.56,-2316.4,384.69,-189.55,-1630.2,2064.1,819.17,11.651,3658.3,272827,150,716,3726,-0.79513,2.0061,-0.42236
12.346,308.89,1447.8,0.001437,-1475.3,-123.56,4.2135e+05,232951,1,46.176,-508.27,-2496.3,569.46,-153.54,-1783.5,2540.3,968.12,-107.35,4174,285553,150,716,3726,-0.78281,2.011,-0.42236
9.8195,315.83,1488.5,0.1675,-1516.8,-121.93,4.3694e+05,232949,1,-2171.6,-1654.3,-3985.3,-1073.7,-1106.7,-3368.5,1433.2,95.574,-2210.1,6633.8,309881,150,716,3726,-0.77045,2.0157,-0.42236
-67.733,238.69,1423.3,-21.984,-1444.4,-21.952,5.4265e+05,231425,1,-3597.7,-3064.8,-8395.6,-2271.9,-2227.7,-6717.5,-330.34,-1437.1,-6486.6,13868,332567,150,716,3726,-0.77137,2.0181,-0.40912
-138.61,204.96,1419.5,-27.724,-1439.5,57.776,5.4166e+05,231423,1,-2722.3,-2634.6,-7963,-551.7,-1359.8,-5679.1,579.11,-1075.4,-6411.8,12441,330564,150,716,3726,-0.75897,2.0228,-0.40912
231.59,416.68,1446.9,-8.7119,-1478,-368.83,4.9321e+05,237519,1,93.93,-1981.5,-8765,297.06,-1016,-4915.2,2136.1,299.02,-2383.2,9836.2,324089,150,722,3727,-0.79213,1.9986,-0.46201
106.52,354.09,1418.4,-5.6797,-1447.7,-229.49,4.9844e+05,235999,1,150.2,-1532.7,-7044.6,493.19,-587.47,-3463,2117.6,545.26,-1294.2,8428.2,319223,150,722,3727,-0.79316,2.0012,-0.44881
102.98,359.12,1445.9,-4.0687,-1476.1,-226.23,4.9159e+05,235997,1,-16.036,-1326.4,-5888.8,504,-435.07,-2817.6,2410.7,778.81,-706.67,7192.8,312713,150,722,3727,-0.78087,2.006,-0.44881
48.35,332.71,1445.9,0.2834,-1475.2,-165.75,4.3032e+05,234475,1,-46.41,-705.96,-3166.9,521.95,-179.16,-1760.9,2649.3,1044.9,81.931,4696,291128,150,716,3726,-0.78185,2.0085,-0.4356
44.236,337.96,1486,-0.41628,-1515.9,-161.98,3.0798e+05,234473,1,-1294.2,-1246.4,-3492,-372.06,-586.31,-2067.8,2298.8,846.67,-143.49,5118.8,295185,150,716,3726,-0.76952,2.0133,-0.4356
-47.984,280.11,1502.3,-14.64,-1527.9,-53.474,5.3633e+05,232947,1,-1790.5,-1765.7,-5227.5,-684.97,-1070,-3885.6,78.944,-583.65,-2984.1,7721,315674,150,716,3726,-0.75807,2.0204,-0.42236
-157.06,213.46,1414.5,-13.034,-1437.2,73.624,5.4274e+05,231421,1,-346.77,-1660.4,-7604.2,381.14,-799.48,-4661.8,14.863,-994.86,-4959.6,10431,325789,150,723,3728,-0.74654,2.0274,-0.40912
222.21,415.52,1467.7,-8.6048,-1499.3,-357.81,5.0565e+05,237517,1,4.1304,-1982.4,-8609.8,355.18,-917.57,-4573,2174.7,343.38,-2167.1,9836.2,324088,150,722,3727,-0.77986,2.0034,-0.46201
90.145,360.79,1485.5,-4.8014,-1516.5,-213.02,4.3666e+05,235995,1,-249.61,-1481,-6164,357.34,-523.74,-2942.1,2662.6,877.48,-633.95,7587.5,315024,150,722,3727,-0.76855,2.0107,-0.44881
79.783,360.93,1520,-6.8579,-1551.2,-201.49,5.0846e+05,235993,1,-802.32,-1594.9,-5790.7,-213.41,-729.74,-2913.3,1426.6,330.25,-937.56,6986.3,311663,150,722,3727,-0.75619,2.0154,-0.44881
16.824,328.4,1519,-5.3168,-1548.6,-131.12,5.2998e+05,234471,1,-1210,-1456.9,-4640.8,-486.12,-814.23,-2936.3,725.78,140.92,-644.52,5967.2,303537,150,723,3728,-0.75715,2.018,-0.4356
0.73344,318.36,1505.2,-5.6077,-1534.5,-110.69,5.2423e+05,234469,1,-102.31,-1071.5,-4784,73.624,-594.13,-2880.3,-329.36,-395.24,-1266.8,5967.2,303538,150,723,3728,-0.74475,2.0226,-0.4356
-65.591,274.28,1475.3,-8.5456,-1501.6,-33.223,5.3391e+05,232945,1,119.84,-1149,-5701.9,314.28,-686.1,-3833.1,-435.82,-838.3,-3240.1,7778.2,315945,150,723,3728,-0.74566,2.025,-0.42236
-63.489,276.23,1474.1,-7.0162,-1500.7,-34.144,5.4438e+05,232943,1,-878.51,-1736,-6888.4,-829.34,-1235,-4544.4,-1238.7,-1324.6,-4272.8,9779.8,323933,150,723,3728,-0.73322,2.0296,-0.42236
-166.92,207.98,1406.4,-13.739,-1428.8,86.323,5.4768e+05,231419,1,-1416.8,-2122.2,-8027.9,-1037.4,-1335.2,-4783.6,-1521.8,-1479.8,-4635.8,11077,328050,150,723,3728,-0.73409,2.032,-0.40912
212.23,418.23,1501.3,-7.5807,-1534,-347.56,5.0431e+05,237515,1,-757.3,-2171.8,-8220,207.79,-872.38,-4150.9,2959.2,690.69,-1898.6,9836.2,324087,150,722,3727,-0.76755,2.0081,-0.46201
178.52,411.6,1549.8,-10.174,-1583,-311.73,5.0391e+05,237513,1,-1048.8,-2154.8,-7653.8,-111.11,-975.15,-4061.5,1885.3,214.11,-2173.8,9492.6,323076,150,722,3727,-0.75521,2.0128,-0.46201
68.087,352.8,1518.8,-8.9263,-1549.6,-185.8,5.1693e+05,235991,1,525.17,-1154.6,-6035.9,547.36,-530.32,-3272.1,572.55,-185.6,-1767.3,7267.3,313082,150,722,3727,-0.74381,2.02,-0.44881
12.935,329.96,1515.3,-0.31302,-1545.9,-124.28,5.4274e+05,234467,1,386.04,-1058.5,-5589.7,38.377,-744.99,-3553.3,-97.316,-535.61,-2355.1,7179.1,312648,150,723,3728,-0.73233,2.0271,-0.4356
-94.644,245.55,1436.8,-17.81,-1460.5,7.1942,5.4002e+05,232941,1,-2560.1,-2536.5,-7867,-2081,-1758.4,-4920.9,-2871.2,-2021.7,-4854.9,11934,329786,150,723,3728,-0.72075,2.034,-0.42236
165.47,408.41,1555.8,-8.09,-1589.6,-296.4,5.2243e+05,237511,1,376.29,-1558.1,-7374.6,388.41,-765.01,-3948.3,357.04,-376.64,-2219.4,8858.6,320837,150,722,3727,-0.74285,2.0174,-0.46201
83.932,369.82,1530.6,0.1616,-1563.6,-204.6,5.3928e+05,235989,1,1229.3,-921.89,-6122.4,801.93,-428.78,-3225.8,615.88,-109.99,-1486.9,7326.7,313470,150,723,3728,-0.73141,2.0245,-0.44881
