"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
5023.5,2754.2,5481.4,1.2285,-6073,-5097.6,5.5597e+05,294247,1,272.36,-5789,-12154,2625.6,-1080.2,-2419.3,10764,986.26,1440.1,17723,336360,30,723,3805,-0.054799,1.9841,-0.94624
5023.5,2718,5340.9,0.76881,-5917.1,-5112.4,5.5405e+05,294249,1,182.39,-5754,-12057,3211.8,-1057,-2436.9,11951,1059.1,1384.4,18486,337014,30,723,3805,-0.066972,1.9838,-0.94624
5208.4,2817.9,5582.8,1.6342,-6203.8,-5267.7,5.5759e+05,295705,1,710.23,-5769.1,-11942,1922.7,-1152,-2466,9329.4,833.39,1301.8,16641,335340,30,723,3805,-0.042498,1.9786,-0.9584
5024.6,2675.1,5186,0.36142,-5745.3,-5127.3,5.51e+05,294251,1,127.42,-5718.4,-11997,3329.4,-1067.3,-2513.3,13232,1194.9,1395.2,19330,337668,30,723,3805,-0.079143,1.9833,-0.94624
5026.1,2636.9,5016.9,10.143,-5562.6,-5142.1,5.6385e+05,294253,1,3863.9,-5028,-10935,-7416.7,-2251.9,-3942.4,35762,5399.9,7681.8,40032,347188,30,723,3805,-0.091311,1.9828,-0.94624
5084.4,2881.6,4116.2,557.39,-4843.4,-5227.7,5.6419e+05,295715,1,1.0399e+05,936.67,-9868.9,27771,-1088.1,-5526.2,69092,8621.4,10454,1.2912e+05,360497,30,726,3806,-0.10317,1.9764,-0.9584
4964.7,2801.4,4478.9,364.34,-5135.5,-5104,5.635e+05,294255,1,1.0674e+05,10139,8773.1,34329,2056.8,216.61,73207,12160,17182,1.3623e+05,361081,30,723,3805,-0.10348,1.9822,-0.94624
5751.9,2731.8,5772.4,13.794,-6439.7,-5691.9,5.6212e+05,297149,1,7112.6,-6146.4,-12188,-4559.9,-1430.1,-3108.1,-3492.7,-23.706,-204.28,16783,335485,30,731,3808,0.042372,1.9727,-0.97053
5561.7,2683.6,5763.7,10.067,-6408.9,-5502.8,5.6161e+05,295691,1,6394.3,-6451.4,-13040,-3915.7,-1507.2,-3287,-2423.2,-376.55,-887.8,16963,335647,30,731,3808,0.042499,1.9786,-0.9584
5479.9,2729.4,5792.9,6.9867,-6439.9,-5437.4,5.6197e+05,295693,1,6370.8,-6121.6,-12454,-3561.2,-1788.6,-3800.5,-1899.9,-825.8,-1766.5,16459,335211,30,731,3808,0.030358,1.9788,-0.9584
