"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
0,0,3,-0.14056,0.26247,2.1786
0,0,3,-0.14056,0.26247,2.1786
1,0,3,-0.14056,0.26247,2.1786
1,0,3,-0.15403,0.24907,2.1793
2,0,3,-0.15403,0.24907,2.1793
2,0,3,-0.15403,0.24907,2.1793
3,0,3,-0.15403,0.24907,2.1793
3,0,3,-0.14066,0.24907,2.1802
4,0,3,-0.14066,0.24907,2.1802
4,0,3,-0.14066,0.24907,2.1802
0,1,3,-0.51978,-0.75981,1.9969
0,1,3,-0.51978,-0.75981,1.9969
1,1,3,-0.51978,-0.75981,1.9969
1,1,3,-0.48508,-0.73443,2.0151
2,1,3,-0.48508,-0.73443,2.0151
2,1,3,-0.48508,-0.73443,2.0151
3,1,3,-0.48508,-0.73443,2.0151
3,1,3,-0.50029,-0.83524,1.9716
4,1,3,-0.50029,-0.83524,1.9716
4,1,3,-0.50029,-0.83524,1.9716
0,2,3,0.29336,1.1362,-1.8596
0,2,3,0.29336,1.1362,-1.8596
1,2,3,0.29336,1.1362,-1.8596
1,2,3,0.31962,1.1014,-1.8761
2,2,3,0.31962,1.1014,-1.8761
2,2,3,0.31962,1.1014,-1.8761
3,2,3,0.31962,1.1014,-1.8761
3,2,3,0.33345,1.078,-1.8873
4,2,3,0.33345,1.078,-1.8873
4,2,3,0.33345,1.078,-1.8873
0,3,3,1.1698,1.8349,0.31597
0,3,3,1.1698,1.8349,0.31597
1,3,3,1.1698,1.8349,0.31597
1,3,3,1.2,1.8079,0.35597
2,3,3,1.2,1.8079,0.35597
2,3,3,1.2,1.8079,0.35597
3,3,3,1.2,1.8079,0.35597
3,3,3,1.1864,1.8114,0.38257
4,3,3,1.1864,1.8114,0.38257
4,3,3,1.1864,1.8114,0.38257
0,4,3,-0.93306,1.9885,0.10116
0,4,3,-0.93306,1.9885,0.10116
1,4,3,-0.93306,1.9885,0.10116
1,4,3,-0.92025,1.993,0.1281
2,4,3,-0.92025,1.993,0.1281
2,4,3,-0.92025,1.993,0.1281
3,4,3,-0.92025,1.993,0.1281
3,4,3,-0.93211,1.9865,0.14157
4,4,3,-0.93211,1.9865,0.14157
4,4,3,-0.93211,1.9865,0.14157
0,5,3,-0.84859,1.5308,1.331
0,5,3,-0.84859,1.5308,1.331
1,5,3,-0.84859,1.5308,1.331
1,5,3,-0.85163,1.5405,1.3179
2,5,3,-0.85163,1.5405,1.3179
2,5,3,-0.85163,1.5405,1.3179
3,5,3,-0.85163,1.5405,1.3179
3,5,3,-0.82723,1.5405,1.3333
4,5,3,-0.82723,1.5405,1.3333
4,5,3,-0.82723,1.5405,1.3333
0,6,3,-0.86624,1.8171,0.88491
0,6,3,-0.86624,1.8171,0.88491
1,6,3,-0.86624,1.8171,0.88491
1,6,3,-0.87257,1.8018,0.90955
2,6,3,-0.87257,1.8018,0.90955
2,6,3,-0.87257,1.8018,0.90955
3,6,3,-0.87257,1.8018,0.90955
3,6,3,-0.88113,1.7914,0.92181
4,6,3,-0.88113,1.7914,0.92181
4,6,3,-0.88113,1.7914,0.92181
0,7,3,-0.15299,-2.1645,0.35597
0,7,3,-0.15299,-2.1645,0.35597
1,7,3,-0.15299,-2.1645,0.35597
1,7,3,-0.19151,-2.1468,0.4356
2,7,3,-0.19151,-2.1468,0.4356
2,7,3,-0.19151,-2.1468,0.4356
3,7,3,-0.19151,-2.1468,0.4356
3,7,3,-0.17811,-2.1452,0.44881
4,7,3,-0.17811,-2.1452,0.44881
4,7,3,-0.17811,-2.1452,0.44881
0,8,3,0.57609,1.4002,-1.5946
0,8,3,0.57609,1.4002,-1.5946
1,8,3,0.57609,1.4002,-1.5946
1,8,3,0.55647,1.4002,-1.6016
2,8,3,0.55647,1.4002,-1.6016
2,8,3,0.55647,1.4002,-1.6016
3,8,3,0.55647,1.4002,-1.6016
3,8,3,0.54664,1.4002,-1.6049
4,8,3,0.54664,1.4002,-1.6049
4,8,3,0.54664,1.4002,-1.6049
0,9,3,-1.7621,1.3153,0.016218
0,9,3,-1.7621,1.3153,0.016218
1,9,3,-1.7621,1.3153,0.016218
1,9,3,-1.7374,1.3475,0.026654
2,9,3,-1.7374,1.3475,0.026654
2,9,3,-1.7374,1.3475,0.026654
3,9,3,-1.7374,1.3475,0.026654
3,9,3,-1.77,1.3045,-0.027154
4,9,3,-1.77,1.3045,-0.027154
4,9,3,-1.77,1.3045,-0.027154
0,10,3,-1.8405,1.1935,-0.15281
0,10,3,-1.8405,1.1935,-0.15281
1,10,3,-1.8405,1.1935,-0.15281
1,10,3,-1.8332,1.2048,-0.1522
2,10,3,-1.8332,1.2048,-0.1522
2,10,3,-1.8332,1.2048,-0.1522
3,10,3,-1.8332,1.2048,-0.1522
3,10,3,-1.8322,1.2048,-0.16344
4,10,3,-1.8322,1.2048,-0.16344
4,10,3,-1.8322,1.2048,-0.16344
0,11,3,-1.1588,1.5501,1.0438
0,11,3,-1.1588,1.5501,1.0438
1,11,3,-1.1588,1.5501,1.0438
1,11,3,-1.1399,1.5211,1.1054
2,11,3,-1.1399,1.5211,1.1054
2,11,3,-1.1399,1.5211,1.1054
3,11,3,-1.1399,1.5211,1.1054
3,11,3,-1.1184,1.5015,1.1532
4,11,3,-1.1184,1.5015,1.1532
4,11,3,-1.1184,1.5015,1.1532
0,12,3,0.22201,-0.10116,2.1853
0,12,3,0.22201,-0.10116,2.1853
1,12,3,0.22201,-0.10116,2.1853
1,12,3,0.22206,-0.087676,2.1859
2,12,3,0.22206,-0.087676,2.1859
2,12,3,0.22206,-0.087676,2.1859
3,12,3,0.22206,-0.087676,2.1859
3,12,3,0.20865,-0.087676,2.1872
4,12,3,0.20865,-0.087676,2.1872
4,12,3,0.20865,-0.087676,2.1872
0,13,3,-0.50785,2.1096,-0.35597
0,13,3,-0.50785,2.1096,-0.35597
1,13,3,-0.50785,2.1096,-0.35597
1,13,3,-0.50785,2.1096,-0.35597
2,13,3,-0.50785,2.1096,-0.35597
2,13,3,-0.50785,2.1096,-0.35597
3,13,3,-0.50785,2.1096,-0.35597
3,13,3,-0.54863,2.1077,-0.30261
4,13,3,-0.54863,2.1077,-0.30261
4,13,3,-0.54863,2.1077,-0.30261
0,14,3,1.4228,-0.4356,-1.619
0,14,3,1.4228,-0.4356,-1.619
1,14,3,1.4228,-0.4356,-1.619
1,14,3,1.4344,-0.42236,-1.6122
2,14,3,1.4344,-0.42236,-1.6122
2,14,3,1.4344,-0.42236,-1.6122
3,14,3,1.4344,-0.42236,-1.6122
3,14,3,1.446,-0.40912,-1.6053
4,14,3,1.446,-0.40912,-1.6053
4,14,3,1.446,-0.40912,-1.6053
0,15,3,-1.3019,1.1935,1.3099
0,15,3,-1.3019,1.1935,1.3099
1,15,3,-1.3019,1.1935,1.3099
1,15,3,-1.3546,1.1821,1.2661
2,15,3,-1.3546,1.1821,1.2661
2,15,3,-1.3546,1.1821,1.2661
3,15,3,-1.3546,1.1821,1.2661
3,15,3,-1.4117,1.1247,1.256
4,15,3,-1.4117,1.1247,1.256
4,15,3,-1.4117,1.1247,1.256
0,16,3,-0.67684,-0.30261,2.0701
0,16,3,-0.67684,-0.30261,2.0701
1,16,3,-0.67684,-0.30261,2.0701
1,16,3,-0.62472,-0.32932,2.0824
2,16,3,-0.62472,-0.32932,2.0824
2,16,3,-0.62472,-0.32932,2.0824
3,16,3,-0.62472,-0.32932,2.0824
3,16,3,-0.72546,-0.34265,2.0473
4,16,3,-0.72546,-0.34265,2.0473
4,16,3,-0.72546,-0.34265,2.0473
0,17,3,-1.451,0.060708,1.6511
0,17,3,-1.451,0.060708,1.6511
1,17,3,-1.451,0.060708,1.6511
1,17,3,-1.4306,0.060708,1.6688
0,18,3,1.0753,1.9118,-0.15503
0,18,3,1.0753,1.9118,-0.15503
1,18,3,1.0753,1.9118,-0.15503
1,18,3,1.0399,1.9312,-0.15503
2,18,3,1.0399,1.9312,-0.15503
2,18,3,1.0399,1.9312,-0.15503
3,18,3,1.0399,1.9312,-0.15503
3,18,3,1.028,1.9376,-0.15503
4,18,3,1.028,1.9376,-0.15503
4,18,3,1.028,1.9376,-0.15503
0,19,3,-0.92737,1.9764,0.26247
0,19,3,-0.92737,1.9764,0.26247
1,19,3,-0.92737,1.9764,0.26247
1,19,3,-0.95224,1.9663,0.24907
2,19,3,-0.95224,1.9663,0.24907
2,19,3,-0.95224,1.9663,0.24907
3,19,3,-0.95224,1.9663,0.24907
3,19,3,-0.99017,1.9522,0.20882
4,19,3,-0.99017,1.9522,0.20882
4,19,3,-0.99017,1.9522,0.20882
0,20,3,-0.55358,-0.074193,2.1268
0,20,3,-0.55358,-0.074193,2.1268
1,20,3,-0.55358,-0.074193,2.1268
1,20,3,-0.5404,-0.087676,2.1297
0,21,3,-0.57853,-0.15503,2.1158
0,21,3,-0.57853,-0.15503,2.1158
1,21,3,-0.57853,-0.15503,2.1158
1,21,3,-0.56577,-0.14157,2.1201
2,21,3,-0.56577,-0.14157,2.1201
2,21,3,-0.56577,-0.14157,2.1201
3,21,3,-0.56577,-0.14157,2.1201
